"2011-2012 IMMUNIZATION STATUS OF KINDERGARTEN STUDENTS, CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,
"In schools with 10 or more kindergarten students enrolled.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SCHOOL CODE",COUNTY,"PUB/ PRIV","PUBLIC SCHOOL DISTRICT",CITY,"SCHOOL NAME",ENROLLMENT,UP-TO-DATE†,,"CONDI- TIONAL*",,PME**,,"PBE§ ",,DTP††,,POLIO¥,,"1 MMRll ",,"2 MMR‡ ",,HEPB§,,VARI¶,,REPORTED
6090252,ALAMEDA,PUBLIC,"BERKELEY UNIFIED",BERKELEY,"JEFFERSON PRIMARY",60,48,80,12,20,0,0,0,0,52,86.6666666666667,51,85,60,100,58,96.6666666666667,59,98.3333333333333,59,98.3333333333333,Y
6105316,ALAMEDA,PUBLIC,"BERKELEY UNIFIED",BERKELEY,"JOHN MUIR ELEM.",63,42,66.6666666666667,18,28.5714285714286,1,1.58730158730159,2,3.17460317460317,45,71.4285714285714,47,74.6031746031746,42,66.6666666666667,53,84.1269841269841,53,84.1269841269841,50,79.3650793650794,Y
6090278,ALAMEDA,PUBLIC,"BERKELEY UNIFIED",BERKELEY,"LE CONTE ELEM.",58,40,68.9655172413793,17,29.3103448275862,0,0,1,1.72413793103448,51,87.9310344827586,46,79.3103448275862,57,98.2758620689655,47,81.0344827586207,53,91.3793103448276,54,93.1034482758621,Y
6090286,ALAMEDA,PUBLIC,"BERKELEY UNIFIED",BERKELEY,"MALCOLM X",77,54,70.1298701298701,19,24.6753246753247,0,0,4,5.19480519480519,59,76.6233766233766,59,76.6233766233766,69,89.6103896103896,65,84.4155844155844,65,84.4155844155844,68,88.3116883116883,Y
6090302,ALAMEDA,PUBLIC,"BERKELEY UNIFIED",BERKELEY,"OXFORD PRIMARY",62,42,67.741935483871,17,27.4193548387097,1,1.61290322580645,2,3.2258064516129,49,79.0322580645161,46,74.1935483870968,58,93.5483870967742,49,79.0322580645161,54,87.0967741935484,55,88.7096774193548,Y
6090187,ALAMEDA,PUBLIC,"BERKELEY UNIFIED",BERKELEY,"ROSA PARKS ELEMENTARY",64,58,90.625,1,1.5625,0,0,5,7.8125,58,90.625,58,90.625,58,90.625,58,90.625,58,90.625,58,90.625,Y
6090310,ALAMEDA,PUBLIC,"BERKELEY UNIFIED",BERKELEY,"THOUSAND OAKS PRIMARY",60,51,85,8,13.3333333333333,0,0,1,1.66666666666667,54,90,54,90,58,96.6666666666667,53,88.3333333333333,58,96.6666666666667,58,96.6666666666667,Y
6090328,ALAMEDA,PUBLIC,"BERKELEY UNIFIED",BERKELEY,"WASHINGTON ELEM.",84,48,57.1428571428571,36,42.8571428571429,0,0,0,0,65,77.3809523809524,60,71.4285714285714,82,97.6190476190476,70,83.3333333333333,77,91.6666666666667,63,75,Y
6090351,ALAMEDA,PUBLIC,"CASTRO VALLEY UNIFIED","CASTRO VALLEY","CASTRO VALLEY ELEM.",72,65,90.2777777777778,6,8.33333333333333,0,0,1,1.38888888888889,70,97.2222222222222,69,95.8333333333333,71,98.6111111111111,68,94.4444444444444,68,94.4444444444444,71,98.6111111111111,Y
6090369,ALAMEDA,PUBLIC,"CASTRO VALLEY UNIFIED","CASTRO VALLEY","CHABOT ELEM.",69,61,88.4057971014493,4,5.79710144927536,0,0,4,5.79710144927536,65,94.2028985507246,62,89.8550724637681,65,94.2028985507246,64,92.7536231884058,65,94.2028985507246,65,94.2028985507246,Y
