"2011-2012 IMMUNIZATION STATUS OF KINDERGARTEN STUDENTS, CALIFORNIA",,,,,,,,,,,,,,,,,,,,,,,,,,,
"In schools with 10 or more kindergarten students enrolled.",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SCHOOL CODE",COUNTY,"PUB/ PRIV","PUBLIC SCHOOL DISTRICT",CITY,"SCHOOL NAME",ENROLLMENT,UP-TO-DATE†,,"CONDI- TIONAL*",,PME**,,"PBE§ ",,DTP††,,POLIO¥,,"1 MMRll ",,"2 MMR‡ ",,HEPB§,,VARI¶,,REPORTED
6002919,BUTTE,PUBLIC,"BANGOR UNION ELEMENTARY",BANGOR,"BANGOR ELEM.",20,16,80,3,15,0,0,1,5,17,85,18,90,18,90,16,80,18,90,18,90,Y
6002943,BUTTE,PUBLIC,"BIGGS UNIFIED",BIGGS,"BIGGS ELEM.",35,33,94.2857142857143,0,0,0,0,2,5.71428571428571,33,94.2857142857143,33,94.2857142857143,33,94.2857142857143,33,94.2857142857143,33,94.2857142857143,33,94.2857142857143,Y
0114991,BUTTE,PUBLIC,"BUTTE COUNTY OFFICE OF EDUCATION",CHICO,"CORE BUTTE CHARTER",39,25,64.1025641025641,6,15.3846153846154,1,2.56410256410256,7,17.9487179487179,25,64.1025641025641,26,66.6666666666667,27,69.2307692307692,28,71.7948717948718,28,71.7948717948718,29,74.3589743589744,Y
0430090,BUTTE,PUBLIC,"BUTTE COUNTY OFFICE OF EDUCATION",OROVILLE,"LEARNING COMM CHRTR (HEARTHSTONE/FOUR WINDS)",24,17,70.8333333333333,3,12.5,0,0,4,16.6666666666667,17,70.8333333333333,17,70.8333333333333,19,79.1666666666667,18,75,19,79.1666666666667,19,79.1666666666667,Y
6119523,BUTTE,PUBLIC,"CHICO UNIFIED",CHICO,"BLUE OAK CHARTER",59,28,47.4576271186441,18,30.5084745762712,0,0,13,22.0338983050847,31,52.5423728813559,31,52.5423728813559,42,71.1864406779661,32,54.2372881355932,42,71.1864406779661,41,69.4915254237288,Y
6002968,BUTTE,PUBLIC,"CHICO UNIFIED",CHICO,"CHAPMAN ELEM.",53,49,92.4528301886792,2,3.77358490566038,0,0,2,3.77358490566038,50,94.3396226415094,50,94.3396226415094,50,94.3396226415094,49,92.4528301886792,50,94.3396226415094,50,94.3396226415094,Y
6113773,BUTTE,PUBLIC,"CHICO UNIFIED",CHICO,"CHICO COUNTRY DAY SCHOOL",60,51,85,2,3.33333333333333,0,0,7,11.6666666666667,51,85,51,85,53,88.3333333333333,52,86.6666666666667,53,88.3333333333333,53,88.3333333333333,Y
6002976,BUTTE,PUBLIC,"CHICO UNIFIED",CHICO,"CITRUS AVE. ELEM.",60,55,91.6666666666667,4,6.66666666666667,0,0,1,1.66666666666667,56,93.3333333333333,58,96.6666666666667,59,98.3333333333333,58,96.6666666666667,59,98.3333333333333,59,98.3333333333333,Y
6111116,BUTTE,PUBLIC,"CHICO UNIFIED",CHICO,"EMMA WILSON ELEMENTARY",87,81,93.1034482758621,4,4.59770114942529,0,0,2,2.29885057471264,83,95.4022988505747,84,96.551724137931,85,97.7011494252874,83,95.4022988505747,83,95.4022988505747,85,97.7011494252874,Y
6003008,BUTTE,PUBLIC,"CHICO UNIFIED",CHICO,"HOOKER OAK ELEM.",52,39,75,7,13.4615384615385,0,0,6,11.5384615384615,39,75,39,75,45,86.5384615384615,40,76.9230769230769,46,88.4615384615385,44,84.6153846153846,Y
6109722,BUTTE,PUBLIC,"CHICO UNIFIED",CHICO,"LITTLE CHICO CREEK ELEM.",90,84,93.3333333333333,4,4.44444444444444,0,0,2,2.22222222222222,85,94.4444444444444,85,94.4444444444444,88,97.7777777777778,84,93.3333333333333,87,96.6666666666667,87,96.6666666666667,Y
6003032,BUTTE,PUBLIC,"CHICO UNIFIED",CHICO,"MARIGOLD ELEM.",97,83,85.5670103092783,12,12.3711340206186,0,0,2,2.06185567010309,88,90.7216494845361,86,88.659793814433,95,97.9381443298969,90,92.7835051546392,94,96.9072164948454,95,97.9381443298969,Y
6003024,BUTTE,PUBLIC,"CHICO UNIFIED",CHICO,"MCMANUS (JOHN A.) ELEM.",54,51,94.4444444444444,2,3.7037037037037,0,0,1,1.85185185185185,51,94.4444444444444,52,96.2962962962963,53,98.1481481481482,52,96.2962962962963,52,96.2962962962963,53,98.1481481481482,Y
6003040,BUTTE,PUBLIC,"CHICO UNIFIED",CHICO,"NEAL DOW ELEM.",63,60,95.2380952380952,0,0,0,0,3,4.76190476190476,60,95.2380952380952,60,95.2380952380952,60,95.2380952380952,60,95.2380952380952,60,95.2380952380952,60,95.2380952380952,Y
0110551,BUTTE,PUBLIC,"CHICO UNIFIED",CHICO,"NORD COUNTRY",21,21,100,0,0,0,0,0,0,21,100,21,100,21,100,21,100,21,100,21,100,Y
6003073,BUTTE,PUBLIC,"CHICO UNIFIED",CHICO,"PARKVIEW ELEM.",54,50,92.5925925925926,0,0,0,0,4,7.40740740740741,50,92.5925925925926,50,92.5925925925926,50,92.5925925925926,50,92.5925925925926,50,92.5925925925926,50,92.5925925925926,Y
6003081,BUTTE,PUBLIC,"CHICO UNIFIED",CHICO,"ROSEDALE ELEM.",112,97,86.6071428571429,10,8.92857142857143,0,0,5,4.46428571428571,98,87.5,102,91.0714285714286,106,94.6428571428571,101,90.1785714285714,106,94.6428571428571,105,93.75,Y
6003099,BUTTE,PUBLIC,"CHICO UNIFIED",CHICO,"SHASTA ELEM.",101,98,97.029702970297,0,0,0,0,3,2.97029702970297,98,97.029702970297,98,97.029702970297,98,97.029702970297,98,97.029702970297,98,97.029702970297,98,97.029702970297,Y
0121475,BUTTE,PUBLIC,"CHICO UNIFIED",CHICO,"SHERWOOD MONTESSORI",17,10,58.8235294117647,4,23.5294117647059,0,0,3,17.6470588235294,11,64.7058823529412,11,64.7058823529412,11,64.7058823529412,10,58.8235294117647,11,64.7058823529412,11,64.7058823529412,Y
6003107,BUTTE,PUBLIC,"CHICO UNIFIED",CHICO,"SIERRA VIEW ELEM.",90,79,87.7777777777778,9,10,0,0,2,2.22222222222222,82,91.1111111111111,83,92.2222222222222,88,97.7777777777778,80,88.8888888888889,87,96.6666666666667,87,96.6666666666667,Y
0118042,BUTTE,PUBLIC,"CHICO UNIFIED","FOREST RANCH","FOREST RANCH CHARTER",19,14,73.6842105263158,4,21.0526315789474,0,0,1,5.26315789473684,15,78.9473684210526,15,78.9473684210526,17,89.4736842105263,15,78.9473684210526,17,89.4736842105263,15,78.9473684210526,Y
6003115,BUTTE,PUBLIC,"DURHAM UNIFIED",DURHAM,"DURHAM ELEM.",63,59,93.6507936507936,1,1.58730158730159,0,0,3,4.76190476190476,60,95.2380952380952,60,95.2380952380952,60,95.2380952380952,59,93.6507936507936,60,95.2380952380952,60,95.2380952380952,Y
6003149,BUTTE,PUBLIC,"GOLDEN FEATHER UNION ELEMENTARY",OROVILLE,"CONCOW ELEMENTARY SCHOOL",15,9,60,6,40,0,0,0,0,10,66.6666666666667,10,66.6666666666667,10,66.6666666666667,10,66.6666666666667,9,60,10,66.6666666666667,Y
6003156,BUTTE,PUBLIC,"GRIDLEY UNIFIED",GRIDLEY,"MCKINLEY PRIMARY",162,161,99.3827160493827,1,0.61728395061728,0,0,0,0,161,99.3827160493827,162,100,162,100,162,100,162,100,162,100,Y
6003198,BUTTE,PUBLIC,"MANZANITA ELEMENTARY",GRIDLEY,"MANZANITA ELEM.",37,35,94.5945945945946,0,0,0,0,2,5.40540540540541,35,94.5945945945946,35,94.5945945945946,35,94.5945945945946,35,94.5945945945946,35,94.5945945945946,35,94.5945945945946,Y
6003214,BUTTE,PUBLIC,"OROVILLE CITY ELEMENTARY",OROVILLE,"BIRD STREET ELEM.",35,31,88.5714285714286,3,8.57142857142857,1,2.85714285714286,0,0,33,94.2857142857143,33,94.2857142857143,34,97.1428571428571,33,94.2857142857143,34,97.1428571428571,33,94.2857142857143,Y
6003255,BUTTE,PUBLIC,"OROVILLE CITY ELEMENTARY",OROVILLE,"OAKDALE HEIGHTS ELEM.",66,62,93.9393939393939,2,3.03030303030303,0,0,2,3.03030303030303,63,95.4545454545455,63,95.4545454545455,64,96.969696969697,62,93.9393939393939,63,95.4545454545455,63,95.4545454545455,Y
6003263,BUTTE,PUBLIC,"OROVILLE CITY ELEMENTARY",OROVILLE,"OPHIR ELEM.",60,55,91.6666666666667,2,3.33333333333333,0,0,3,5,56,93.3333333333333,56,93.3333333333333,57,95,56,93.3333333333333,56,93.3333333333333,57,95,Y
6003271,BUTTE,PUBLIC,"OROVILLE CITY ELEMENTARY",OROVILLE,"STANFORD AVE. ELEM.",128,117,91.40625,1,0.78125,0,0,10,7.8125,117,91.40625,117,91.40625,118,92.1875,117,91.40625,118,92.1875,118,92.1875,Y
6094957,BUTTE,PUBLIC,"OROVILLE CITY ELEMENTARY",OROVILLE,"WYANDOTTE AVE. ELEM.",41,37,90.2439024390244,1,2.4390243902439,2,4.8780487804878,1,2.4390243902439,37,90.2439024390244,37,90.2439024390244,37,90.2439024390244,37,90.2439024390244,37,90.2439024390244,37,90.2439024390244,Y
6003289,BUTTE,PUBLIC,"PALERMO UNION ELEMENTARY",OROVILLE,"WILCOX (HELEN M.) ELEM.",142,139,97.887323943662,0,0,0,0,3,2.11267605633803,139,97.887323943662,139,97.887323943662,139,97.887323943662,139,97.887323943662,139,97.887323943662,139,97.887323943662,Y
6113526,BUTTE,PUBLIC,"PARADISE UNIFIED",MAGALIA,"CEDARWOOD ELEM.",49,40,81.6326530612245,9,18.3673469387755,0,0,0,0,40,81.6326530612245,40,81.6326530612245,46,93.8775510204082,43,87.7551020408163,49,100,46,93.8775510204082,Y
6105522,BUTTE,PUBLIC,"PARADISE UNIFIED",MAGALIA,"PINE RIDGE SCHOOL",50,42,84,7,14,0,0,1,2,45,90,43,86,47,94,43,86,47,94,45,90,Y
0110338,BUTTE,PUBLIC,"PARADISE UNIFIED",PARADISE,"ACHIEVE CHARTER OF PARADISE",20,12,60,6,30,0,0,2,10,13,65,12,60,17,85,12,60,17,85,17,85,Y
6113765,BUTTE,PUBLIC,"PARADISE UNIFIED",PARADISE,"CHILDREN'S COMMUNITY CHARTER",24,16,66.6666666666667,8,33.3333333333333,0,0,0,0,17,70.8333333333333,16,66.6666666666667,24,100,17,70.8333333333333,24,100,24,100,Y
6003313,BUTTE,PUBLIC,"PARADISE UNIFIED",PARADISE,"PARADISE ELEM.",117,100,85.4700854700855,14,11.965811965812,0,0,3,2.56410256410256,101,86.3247863247863,103,88.034188034188,112,95.7264957264957,102,87.1794871794872,110,94.017094017094,112,95.7264957264957,Y
6003339,BUTTE,PUBLIC,"PARADISE UNIFIED",PARADISE,"PONDEROSA ELEM.",89,77,86.5168539325843,8,8.98876404494382,0,0,4,4.49438202247191,78,87.6404494382023,80,89.8876404494382,85,95.5056179775281,78,87.6404494382023,85,95.5056179775281,85,95.5056179775281,Y
0102327,BUTTE,PUBLIC,"THERMALITO UNION ELEMENTARY",OROVILLE,"PLUMAS AVENUE ELEMENTARY",43,41,95.3488372093023,2,4.65116279069767,0,0,0,0,42,97.6744186046512,42,97.6744186046512,43,100,41,95.3488372093023,42,97.6744186046512,43,100,Y
6003362,BUTTE,PUBLIC,"THERMALITO UNION ELEMENTARY",OROVILLE,"POPLAR AVE. ELEM.",47,44,93.6170212765958,3,6.38297872340426,0,0,0,0,45,95.7446808510638,45,95.7446808510638,47,100,45,95.7446808510638,44,93.6170212765958,46,97.8723404255319,Y
6003370,BUTTE,PUBLIC,"THERMALITO UNION ELEMENTARY",OROVILLE,"SIERRA AVE ELEM",76,74,97.3684210526316,1,1.31578947368421,0,0,1,1.31578947368421,74,97.3684210526316,74,97.3684210526316,75,98.6842105263158,74,97.3684210526316,75,98.6842105263158,75,98.6842105263158,Y
6973168,BUTTE,PRIVATE,,CHICO,"CHICO CHRISTIAN",39,39,100,0,0,0,0,0,0,39,100,39,100,39,100,39,100,39,100,39,100,Y
6967582,BUTTE,PRIVATE,,CHICO,"NOTRE DAME ELEM.",23,12,52.1739130434783,11,47.8260869565217,0,0,0,0,13,56.5217391304348,12,52.1739130434783,18,78.2608695652174,13,56.5217391304348,18,78.2608695652174,18,78.2608695652174,Y
6906598,BUTTE,PRIVATE,,OROVILLE,"OROVILLE CHRTN.",16,13,81.25,3,18.75,0,0,0,0,13,81.25,13,81.25,15,93.75,15,93.75,16,100,16,100,Y
6926109,BUTTE,PRIVATE,,OROVILLE,"SAINT THOMAS THE APOSTLE",13,13,100,0,0,0,0,0,0,13,100,13,100,13,100,13,100,13,100,13,100,Y
6003404,CALAVERAS,PUBLIC,"CALAVERAS UNIFIED","MOKELUMNE HILL","MOKELUMNE HILL ELEM.",14,10,71.4285714285714,0,0,0,0,4,28.5714285714286,10,71.4285714285714,10,71.4285714285714,10,71.4285714285714,10,71.4285714285714,10,71.4285714285714,10,71.4285714285714,Y
6003438,CALAVERAS,PUBLIC,"CALAVERAS UNIFIED","SAN ANDREAS","SAN ANDREAS ELEM.",48,38,79.1666666666667,5,10.4166666666667,0,0,5,10.4166666666667,38,79.1666666666667,38,79.1666666666667,42,87.5,39,81.25,43,89.5833333333333,42,87.5,Y
6108518,CALAVERAS,PUBLIC,"CALAVERAS UNIFIED","VALLEY SPRINGS","JENNY LIND",80,72,90,5,6.25,0,0,3,3.75,72,90,72,90,77,96.25,72,90,74,92.5,76,95,Y
6003446,CALAVERAS,PUBLIC,"CALAVERAS UNIFIED","VALLEY SPRINGS","VALLEY SPRINGS ELEM.",53,45,84.9056603773585,5,9.43396226415094,0,0,3,5.66037735849057,45,84.9056603773585,45,84.9056603773585,50,94.3396226415094,45,84.9056603773585,50,94.3396226415094,48,90.5660377358491,Y
6003453,CALAVERAS,PUBLIC,"CALAVERAS UNIFIED","WEST POINT","WEST POINT ELEM.",16,13,81.25,1,6.25,0,0,2,12.5,13,81.25,13,81.25,14,87.5,13,81.25,14,87.5,14,87.5,Y
6003461,CALAVERAS,PUBLIC,"MARK TWAIN UNION ELEMENTARY","ANGELS CAMP","MARK TWAIN ELEM.",46,32,69.5652173913043,12,26.0869565217391,0,0,2,4.34782608695652,34,73.9130434782609,34,73.9130434782609,39,84.7826086956522,39,84.7826086956522,38,82.6086956521739,39,84.7826086956522,Y
6003388,CALAVERAS,PUBLIC,"MARK TWAIN UNION ELEMENTARY",COPPEROPOLIS,"COPPEROPOLIS ELEM.",48,28,58.3333333333333,20,41.6666666666667,0,0,0,0,29,60.4166666666667,31,64.5833333333333,43,89.5833333333333,34,70.8333333333333,42,87.5,43,89.5833333333333,Y
6003396,CALAVERAS,PUBLIC,"VALLECITO UNION",ARNOLD,"FISCHER (HAZEL) ELEM.",31,28,90.3225806451613,2,6.45161290322581,0,0,1,3.2258064516129,28,90.3225806451613,28,90.3225806451613,30,96.7741935483871,28,90.3225806451613,30,96.7741935483871,30,96.7741935483871,Y
6088975,CALAVERAS,PUBLIC,"VALLECITO UNION",MURPHYS,"MICHELSON (ALBERT A.) ELEM.",43,37,86.046511627907,3,6.97674418604651,0,0,3,6.97674418604651,37,86.046511627907,37,86.046511627907,40,93.0232558139535,37,86.046511627907,40,93.0232558139535,39,90.6976744186046,Y
7078538,CALAVERAS,PRIVATE,,"ANGELS CAMP","CHRTN. FAMILY LRNG. CTR.",13,12,92.3076923076923,0,0,0,0,1,7.69230769230769,12,92.3076923076923,12,92.3076923076923,12,92.3076923076923,12,92.3076923076923,12,92.3076923076923,12,92.3076923076923,Y
7105059,CALAVERAS,PRIVATE,,VALLECITO,"CHRISTIAN HERITAGE ACADEMY"," ",,,,,,,,,,,,,,,,,,,,,N
6003495,COLUSA,PUBLIC,"COLUSA UNIFIED",COLUSA,"BURCHFIELD (JAMES M.) PRIMARY",115,114,99.1304347826087,1,0.8695652173913,0,0,0,0,114,99.1304347826087,115,100,115,100,114,99.1304347826087,115,100,115,100,Y
6003503,COLUSA,PUBLIC,"MAXWELL UNIFIED",MAXWELL,"MAXWELL ELEM.",35,31,88.5714285714286,1,2.85714285714286,0,0,3,8.57142857142857,32,91.4285714285714,32,91.4285714285714,32,91.4285714285714,31,88.5714285714286,32,91.4285714285714,32,91.4285714285714,Y
6003511,COLUSA,PUBLIC,"PIERCE JOINT UNIFIED",ARBUCKLE,"ARBUCKLE ELEM.",95,94,98.9473684210526,0,0,0,0,1,1.05263157894737,94,98.9473684210526,94,98.9473684210526,94,98.9473684210526,94,98.9473684210526,94,98.9473684210526,94,98.9473684210526,Y
6003537,COLUSA,PUBLIC,"PIERCE JOINT UNIFIED",GRIMES,"GRAND ISLAND",11,11,100,0,0,0,0,0,0,11,100,11,100,11,100,11,100,11,100,11,100,Y
6003552,COLUSA,PUBLIC,"WILLIAMS UNIFIED",WILLIAMS,"WILLIAMS ELEM.",106,106,100,0,0,0,0,0,0,106,100,106,100,106,100,106,100,106,100,106,100,Y
6905780,COLUSA,PRIVATE,,COLUSA,"OUR LADY OF LOURDES PARISH",21,19,90.4761904761905,2,9.52380952380952,0,0,0,0,21,100,21,100,19,90.4761904761905,19,90.4761904761905,21,100,19,90.4761904761905,Y
6115703,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",ANTIOCH,"ANTIOCH CHARTER ACADEMY I",23,23,100,0,0,0,0,0,0,23,100,23,100,23,100,23,100,23,100,23,100,Y
0115063,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",ANTIOCH,"ANTIOCH CHARTER ACADEMY II",25,22,88,0,0,0,0,3,12,22,88,22,88,22,88,22,88,22,88,22,88,Y
6003578,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",ANTIOCH,"BELSHAW ELEM.",111,96,86.4864864864865,15,13.5135135135135,0,0,0,0,109,98.1981981981982,98,88.2882882882883,109,98.1981981981982,106,95.4954954954955,108,97.2972972972973,111,100,Y
0106583,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",ANTIOCH,"CARMEN DRAGON ELEM",80,77,96.25,2,2.5,0,0,1,1.25,77,96.25,78,97.5,79,98.75,77,96.25,78,97.5,79,98.75,Y
6117501,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",ANTIOCH,"DIABLO VISTA",86,85,98.8372093023256,1,1.16279069767442,0,0,0,0,85,98.8372093023256,85,98.8372093023256,86,100,85,98.8372093023256,86,100,86,100,Y
6003594,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",ANTIOCH,"FREMONT ELEM.",92,85,92.3913043478261,6,6.52173913043478,0,0,1,1.08695652173913,88,95.6521739130435,89,96.7391304347826,90,97.8260869565217,91,98.9130434782609,91,98.9130434782609,91,98.9130434782609,Y
6003602,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",ANTIOCH,"KIMBALL ELEM.",91,88,96.7032967032967,2,2.1978021978022,0,0,1,1.0989010989011,88,96.7032967032967,88,96.7032967032967,90,98.9010989010989,89,97.8021978021978,88,96.7032967032967,90,98.9010989010989,Y
6110514,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",ANTIOCH,"LONDON (JACK) ELEM.",95,83,87.3684210526316,3,3.15789473684211,0,0,9,9.47368421052632,83,87.3684210526316,83,87.3684210526316,86,90.5263157894737,83,87.3684210526316,86,90.5263157894737,83,87.3684210526316,Y
0100461,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",ANTIOCH,"LONE TREE ELEMENTARY",125,122,97.6,2,1.6,0,0,1,0.8,122,97.6,122,97.6,124,99.2,123,98.4,124,99.2,124,99.2,Y
6003610,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",ANTIOCH,"MARSH ELEM.",114,92,80.7017543859649,19,16.6666666666667,3,2.63157894736842,0,0,94,82.4561403508772,93,81.5789473684211,107,93.859649122807,95,83.3333333333333,103,90.3508771929825,106,92.9824561403509,Y
6084941,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",ANTIOCH,"MISSION ELEM.",125,120,96,5,4,0,0,0,0,120,96,120,96,125,100,124,99.2,125,100,125,100,Y
6115380,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",ANTIOCH,"MNO GRANT ELEM.",68,54,79.4117647058823,12,17.6470588235294,0,0,2,2.94117647058824,63,92.6470588235294,66,97.0588235294118,66,97.0588235294118,56,82.3529411764706,64,94.1176470588235,66,97.0588235294118,Y
6108989,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",ANTIOCH,"MUIR (JOHN) ELEM.",106,105,99.0566037735849,0,0,0,0,1,0.94339622641509,105,99.0566037735849,105,99.0566037735849,105,99.0566037735849,105,99.0566037735849,105,99.0566037735849,105,99.0566037735849,Y
0119586,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",ANTIOCH,"R.A.A.M.P. CHARTER ACADEMY",30,30,100,0,0,0,0,0,0,30,100,30,100,30,100,30,100,30,100,30,100,Y
6003628,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",ANTIOCH,"SUTTER ELEM.",96,91,94.7916666666667,5,5.20833333333333,0,0,0,0,91,94.7916666666667,91,94.7916666666667,91,94.7916666666667,91,94.7916666666667,91,94.7916666666667,91,94.7916666666667,Y
6003636,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",ANTIOCH,"TURNER ELEM.",104,98,94.2307692307692,6,5.76923076923077,0,0,0,0,98,94.2307692307692,100,96.1538461538462,104,100,99,95.1923076923077,103,99.0384615384615,101,97.1153846153846,Y
0113761,"CONTRA COSTA",PUBLIC,"ANTIOCH UNIFIED",OAKLEY,"ORCHARD PARK ELEM",59,44,74.5762711864407,13,22.0338983050847,0,0,2,3.38983050847458,50,84.7457627118644,50,84.7457627118644,54,91.5254237288136,48,81.3559322033898,52,88.135593220339,53,89.8305084745763,Y
6003644,"CONTRA COSTA",PUBLIC,"BRENTWOOD UNION ELEMENTARY",BRENTWOOD,"BRENTWOOD ELEM.",107,103,96.2616822429907,3,2.80373831775701,0,0,1,0.93457943925234,104,97.196261682243,105,98.1308411214953,106,99.0654205607477,105,98.1308411214953,105,98.1308411214953,106,99.0654205607477,Y
6070981,"CONTRA COSTA",PUBLIC,"BRENTWOOD UNION ELEMENTARY",BRENTWOOD,"GARIN ELEM.",127,123,96.8503937007874,4,3.1496062992126,0,0,0,0,124,97.6377952755905,125,98.4251968503937,127,100,126,99.2125984251969,126,99.2125984251969,125,98.4251968503937,Y
6117410,"CONTRA COSTA",PUBLIC,"BRENTWOOD UNION ELEMENTARY",BRENTWOOD,"LOMA VISTA ELEMENTARY",104,102,98.0769230769231,0,0,0,0,2,1.92307692307692,102,98.0769230769231,102,98.0769230769231,102,98.0769230769231,102,98.0769230769231,102,98.0769230769231,102,98.0769230769231,Y
0108019,"CONTRA COSTA",PUBLIC,"BRENTWOOD UNION ELEMENTARY",BRENTWOOD,"MARSH CREEK ELEMENTARY",103,102,99.0291262135922,1,0.97087378640777,0,0,0,0,102,99.0291262135922,103,100,103,100,103,100,103,100,103,100,Y
6109730,"CONTRA COSTA",PUBLIC,"BRENTWOOD UNION ELEMENTARY",BRENTWOOD,"NUNN (RON) ELEM.",101,95,94.059405940594,4,3.96039603960396,0,0,2,1.98019801980198,95,94.059405940594,95,94.059405940594,99,98.019801980198,95,94.059405940594,99,98.019801980198,99,98.019801980198,Y
0102376,"CONTRA COSTA",PUBLIC,"BRENTWOOD UNION ELEMENTARY",BRENTWOOD,"PIONEER ELEMENTARY",146,140,95.8904109589041,4,2.73972602739726,0,0,2,1.36986301369863,141,96.5753424657534,141,96.5753424657534,143,97.9452054794521,142,97.2602739726027,142,97.2602739726027,143,97.9452054794521,Y
6119754,"CONTRA COSTA",PUBLIC,"BRENTWOOD UNION ELEMENTARY",BRENTWOOD,"R. PAUL KREY ELEMENTARY SCHOOL",129,127,98.4496124031008,1,0.77519379844961,0,0,1,0.77519379844961,127,98.4496124031008,127,98.4496124031008,127,98.4496124031008,127,98.4496124031008,127,98.4496124031008,127,98.4496124031008,Y
6101943,"CONTRA COSTA",PUBLIC,"BYRON UNION ELEMENTARY",BYRON,"DISCOVERY BAY ELEM.",98,87,88.7755102040816,9,9.18367346938776,0,0,2,2.04081632653061,88,89.7959183673469,87,88.7755102040816,94,95.9183673469388,88,89.7959183673469,91,92.8571428571429,93,94.8979591836735,Y
6119838,"CONTRA COSTA",PUBLIC,"BYRON UNION ELEMENTARY",BYRON,"TIMBER POINT ELEMENTARY SCHOOL",86,75,87.2093023255814,11,12.7906976744186,0,0,0,0,81,94.1860465116279,81,94.1860465116279,82,95.3488372093023,79,91.8604651162791,80,93.0232558139535,82,95.3488372093023,Y
6003701,"CONTRA COSTA",PUBLIC,"JOHN SWETT UNIFIED",RODEO,"RODEO HILLS ELEM.",111,101,90.990990990991,10,9.00900900900901,0,0,0,0,103,92.7927927927928,105,94.5945945945946,111,100,103,92.7927927927928,108,97.2972972972973,111,100,Y
6003719,"CONTRA COSTA",PUBLIC,"KNIGHTSEN ELEMENTARY",KNIGHTSEN,"KNIGHTSEN ELEM.",45,45,100,0,0,0,0,0,0,45,100,45,100,45,100,45,100,45,100,45,100,Y
6003727,"CONTRA COSTA",PUBLIC,"LAFAYETTE ELEMENTARY",LAFAYETTE,"BURTON VALLEY",122,110,90.1639344262295,5,4.0983606557377,0,0,7,5.73770491803279,113,92.6229508196721,112,91.8032786885246,115,94.2622950819672,115,94.2622950819672,115,94.2622950819672,115,94.2622950819672,Y
6003743,"CONTRA COSTA",PUBLIC,"LAFAYETTE ELEMENTARY",LAFAYETTE,"HAPPY VALLEY ELEM.",66,59,89.3939393939394,5,7.57575757575758,0,0,2,3.03030303030303,62,93.9393939393939,61,92.4242424242424,64,96.969696969697,60,90.9090909090909,63,95.4545454545455,63,95.4545454545455,Y
6003750,"CONTRA COSTA",PUBLIC,"LAFAYETTE ELEMENTARY",LAFAYETTE,"LAFAYETTE ELEM.",88,66,75,19,21.5909090909091,0,0,3,3.40909090909091,73,82.9545454545455,72,81.8181818181818,85,96.5909090909091,73,82.9545454545455,83,94.3181818181818,84,95.4545454545455,Y
6003792,"CONTRA COSTA",PUBLIC,"LAFAYETTE ELEMENTARY",LAFAYETTE,"SPRINGHILL ELEM.",89,67,75.2808988764045,17,19.1011235955056,0,0,5,5.61797752808989,71,79.7752808988764,71,79.7752808988764,84,94.3820224719101,73,82.0224719101124,81,91.0112359550562,84,94.3820224719101,Y
6003826,"CONTRA COSTA",PUBLIC,"MARTINEZ UNIFIED",MARTINEZ,"JOHN MUIR ELEM.",59,55,93.2203389830508,2,3.38983050847458,0,0,2,3.38983050847458,55,93.2203389830508,55,93.2203389830508,56,94.9152542372881,56,94.9152542372881,55,93.2203389830508,56,94.9152542372881,Y
6003842,"CONTRA COSTA",PUBLIC,"MARTINEZ UNIFIED",MARTINEZ,"LAS JUNTAS ELEM.",87,83,95.4022988505747,4,4.59770114942529,0,0,0,0,85,97.7011494252874,85,97.7011494252874,85,97.7011494252874,84,96.551724137931,84,96.551724137931,85,97.7011494252874,Y
6003875,"CONTRA COSTA",PUBLIC,"MARTINEZ UNIFIED",MARTINEZ,"MORELLO ELEM.",90,88,97.7777777777778,0,0,1,1.11111111111111,1,1.11111111111111,88,97.7777777777778,88,97.7777777777778,88,97.7777777777778,88,97.7777777777778,88,97.7777777777778,88,97.7777777777778,Y
6003834,"CONTRA COSTA",PUBLIC,"MARTINEZ UNIFIED",MARTINEZ,"SWETT (JOHN) ELEM.",73,66,90.4109589041096,0,0,0,0,7,9.58904109589041,66,90.4109589041096,66,90.4109589041096,66,90.4109589041096,66,90.4109589041096,66,90.4109589041096,66,90.4109589041096,Y
