location|latitude|longitude|
2802 Materhorn Drive|32.828359|-96.66649799999999
10222 N. Walton Walker Boulevard|32.7780382|-96.91630959999999
2600 Walnut Hill Lane|32.8810299|-96.890298
1300 N. Munger Boulevard|32.8056656|-96.7688646
2015 Ferndale Street|32.725267|-96.853393
13015 Audelia Road|32.92476|-96.719088
3701 Crane Street|32.786453|-96.880945
3810 Bonnie View Road|32.712916|-96.7747
3100 W. Davis Street|32.749324|-96.871583
8059 LBJ Freeway|32.9255161|-96.76790659999999
1170 N. Prairie Creek Road|32.732129|-96.66558649999999
7175 Wild Briar Lane|32.7391792|-96.57955820000001
9616 C. F. Hawn Freeway|32.7030016|-96.65603890000001
230 S. Riverfront Boulevard|32.7755045|-96.8132117
6417 Ridgecrest Road|32.867179|-96.75265399999999
7152 Fair Oaks Avenue|32.8735563|-96.7568385
2550 W. Redbird Lane|32.6699846|-96.85970669999999
2000 Commerce Street|32.7809527|-96.79396360000001
2500 Wells Street|32.7396632|-96.75418119999999
2900 Spruce Valley Lane|32.7138903|-96.8761401
3800 Dilido Street|32.7984992|-96.6881925
400 S. Houston Street|32.7764148|-96.8056124
12121 Audelia Road|32.9137078|-96.7226467
3700 Penelope Street|32.7713314|-96.7524863
11700 Audelia Road|32.9081226|-96.71727829999999
2502 Grand Avenue|32.768664|-96.77459700000001
2700 Medill Street|32.7752948|-96.7673241
1180 N. St. Augustine Road|32.7323596|-96.656922
17601 Marsh Lane|32.9905306|-96.856301
3000 Lombardy Lane|32.8664165|-96.8753414
400 S. Llewellyn Avenue|32.7422754|-96.83212189999999
5900 Stretch Drive|32.733121|-96.92198959999999
3373 Lombardy Lane|32.866857|-96.867153
2000 Campfire Circle|32.6828374|-96.8554996
7129 Tabor Drive|32.877064|-96.73705799999999
7100 Valley View Lane|32.9274961|-96.7835822
18220 Dallas Parkway|32.9985843|-96.8285958
3600 Folklore Trail|32.6986735|-96.8410843
4345 W. Camp Wisdom Road|32.6623486|-96.8905554
200 S. Pearl Street|32.7828431|-96.7924381
3803 Mural Lane|32.763696|-96.7335504
3851 Casa Del Sol Lane|32.851685|-96.654501
12670 E. Northwest Highway|32.862898|-96.662881
3716 Spring Avenue|32.768897|-96.74839899999999
800 N. Winnetka Avenue|32.7524088|-96.8402818
8400 Forney Road|32.7779003|-96.6760989
9500 Castlefield Drive|32.75228250000001|-96.66004269999999
4542 W. Kiest Boulevard|32.7053529|-96.8971598
2728 McKinnon Street|32.7946052|-96.8069335
13030 Audelia Road|32.9243446|-96.7175216
4200 Elmira Street|32.7770852|-96.7135502
1221 S. Lamar Street|32.7682921|-96.7974259
3314 W. Camp Wisdom Road|32.6618939|-96.875534
6048 Belmont Avenue|32.817329|-96.76187829999999
8124 Forest Lane|32.9088858|-96.7640856
208 Glencairn Drive|32.657701|-96.824975
3000 Lantana Lane|32.6955311|-96.7641836
500 S. Llewellyn Avenue|32.7412581|-96.8321363
400 S. Rosemont Avenue|32.7417673|-96.84787349999999
3647 Espanola Drive|32.8686239|-96.85685
7921 LBJ Freeway|32.8563991|-96.64833709999999
4800 Veterans Drive|32.69298|-96.781674
9000 Lake June Road|32.733847|-96.66526359999999
13739 N. Central Expressway|32.9367395|-96.75225859999999
1550 Empire Central|32.825673|-96.864407
4807 Maple Avenue|32.814471|-96.82696399999999
9770 Forest Lane|32.90913920000001|-96.7187245
6185 Retail Road|32.8628455|-96.7545397
1515 S. Buckner Boulevard|32.7380615|-96.6838211
4322 Fernwood Avenue|32.694491|-96.79777
6500 Skillman Street|32.8644823|-96.7432348
3000 Chihuahua Street|32.7785318|-96.84561699999999
3303 Southern Oaks Boulevard|32.720163|-96.772059
2208 W. Northwest Highway|32.8637872|-96.8990069
9147 Skillman Street|32.902285|-96.717424
534 Sunset Avenue|32.7439676|-96.8317582
12100 Bellafonte Drive|32.9132966|-96.7615086
3600 Bolivar Drive|32.8652463|-96.8582345
8943 Senate Street|32.7994236|-96.6912553
2310 Martin Luther King Jr. Blvd|32.7643874|-96.77303900000001
1639 Conner Drive|32.740732|-96.681455
4600 Haverwood Lane|33.0072641|-96.82890250000001
8000 C. F. Hawn Freeway|32.714033|-96.684714
2825 Oak Lawn Avenue|32.8078753|-96.810574
10316 Sandra Lynn Drive|32.838289|-96.65628699999999
1339 Morrell Avenue|32.739419|-96.803876
222 N. Barnett Avenue|32.7472179|-96.87102399999999
9452 Crimnson Court|32.669247|-96.66274899999999
1524 E. Missouri Avenue|32.717745|-96.80203399999999
9524 Military Parkway|32.76800850000001|-96.6583294
